     Date/Time     ,   Chan 0
2022 January 21 08:08:03.331460,     3.26910
2022 January 21 08:08:03.354297,     3.27125
2022 January 21 08:08:03.376984,     3.25430
2022 January 21 08:08:03.400217,     3.26632
2022 January 21 08:08:03.421906,     3.26725
2022 January 21 08:08:03.443622,     3.26293
2022 January 21 08:08:03.465941,     3.26601
2022 January 21 08:08:03.488079,     3.26416
2022 January 21 08:08:03.509334,     3.25831
2022 January 21 08:08:03.530945,     3.26139
2022 January 21 08:08:03.552635,     3.26139
2022 January 21 08:08:03.574087,     3.26386
2022 January 21 08:08:03.595633,     3.25615
2022 January 21 08:08:03.617151,     3.26293
2022 January 21 08:08:03.638493,     3.26139
2022 January 21 08:08:03.659858,     3.26077
2022 January 21 08:08:03.681670,     3.25862
2022 January 21 08:08:03.703349,     3.25769
2022 January 21 08:08:03.725042,     3.26108
2022 January 21 08:08:03.746342,     3.26786
2022 January 21 08:08:03.767551,     3.26108
2022 January 21 08:08:03.789283,     3.26879
2022 January 21 08:08:03.810347,     3.25892
2022 January 21 08:08:03.831600,     3.26540
2022 January 21 08:08:03.852667,     3.26077
2022 January 21 08:08:03.873940,     3.26139
2022 January 21 08:08:03.895190,     3.26231
2022 January 21 08:08:03.916260,     3.25985
2022 January 21 08:08:03.937680,     3.25738
2022 January 21 08:08:03.958885,     3.26355
2022 January 21 08:08:03.979942,     3.25430
2022 January 21 08:08:04.001486,     3.24844
2022 January 21 08:08:04.022803,     3.26262
2022 January 21 08:08:04.043912,     3.26170
2022 January 21 08:08:04.065116,     3.25584
2022 January 21 08:08:04.086430,     3.26694
2022 January 21 08:08:04.107699,     3.25954
2022 January 21 08:08:04.129099,     3.26170
2022 January 21 08:08:04.150233,     3.26509
2022 January 21 08:08:04.171562,     3.25615
2022 January 21 08:08:04.192749,     3.26386
2022 January 21 08:08:04.213811,     3.25615
2022 January 21 08:08:04.235251,     3.26170
2022 January 21 08:08:04.256551,     3.25738
2022 January 21 08:08:04.277899,     3.26016
2022 January 21 08:08:04.299103,     3.26601
2022 January 21 08:08:04.320162,     3.25399
2022 January 21 08:08:04.341525,     3.26016
2022 January 21 08:08:04.362679,     3.26355
2022 January 21 08:08:04.383865,     3.26170
2022 January 21 08:08:04.405065,     3.31718
2022 January 21 08:08:04.426390,     3.39824
2022 January 21 08:08:04.447458,     3.48516
2022 January 21 08:08:04.468729,     3.61646
2022 January 21 08:08:04.490037,     3.76225
2022 January 21 08:08:04.511092,     3.91760
2022 January 21 08:08:04.532453,     4.07633
2022 January 21 08:08:04.554164,     4.23815
2022 January 21 08:08:04.575210,     4.38579
2022 January 21 08:08:04.596635,     4.54945
2022 January 21 08:08:04.617923,     4.68476
2022 January 21 08:08:04.639227,     4.83117
2022 January 21 08:08:04.660428,     4.97357
2022 January 21 08:08:04.681505,     5.05278
2022 January 21 08:08:04.702697,     5.11874
2022 January 21 08:08:04.724473,     5.12830
2022 January 21 08:08:04.745540,     5.12768
2022 January 21 08:08:04.767034,     5.12645
2022 January 21 08:08:04.788202,     5.13785
2022 January 21 08:08:04.809496,     5.12984
2022 January 21 08:08:04.830704,     5.14155
2022 January 21 08:08:04.851893,     5.13230
2022 January 21 08:08:04.873120,     5.12614
2022 January 21 08:08:04.894794,     5.14402
2022 January 21 08:08:04.915957,     5.13138
2022 January 21 08:08:04.937137,     5.13785
